2024-08-25 16:30:11,627 INFO    Thread-12 :41677 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-5-final-pipeline-release-and-deploy/exercises/exercise_14/starter/download/wandb/run-20240825_163010-jfb5lu7a/files/conda-environment.yaml
2024-08-25 16:30:11,627 INFO    Thread-12 :41677 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-5-final-pipeline-release-and-deploy/exercises/exercise_14/starter/download/wandb/run-20240825_163010-jfb5lu7a/files/requirements.txt
2024-08-25 16:30:11,627 INFO    Thread-12 :41677 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-5-final-pipeline-release-and-deploy/exercises/exercise_14/starter/download/wandb/run-20240825_163010-jfb5lu7a/files/wandb-metadata.json
2024-08-25 16:30:11,711 INFO    wandb-upload_0:41677 [upload_job.py:push():131] Uploaded file /var/folders/45/fj8r5p_92hq96t1_t88048jm0000gn/T/tmp_d_mv0_wwandb/8f668mcr-wandb-metadata.json
2024-08-25 16:30:12,571 DEBUG   HandlerThread:41677 [handler.py:handle_request():146] handle_request: log_artifact
2024-08-25 16:30:12,571 DEBUG   SenderThread:41677 [sender.py:send_request():405] send_request: log_artifact
2024-08-25 16:30:12,631 INFO    Thread-12 :41677 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-5-final-pipeline-release-and-deploy/exercises/exercise_14/starter/download/wandb/run-20240825_163010-jfb5lu7a/files/output.log
2024-08-25 16:30:14,640 INFO    Thread-12 :41677 [dir_watcher.py:_on_file_modified():288] file/dir modified: /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-5-final-pipeline-release-and-deploy/exercises/exercise_14/starter/download/wandb/run-20240825_163010-jfb5lu7a/files/output.log
2024-08-25 16:30:14,660 INFO    wandb-upload_0:41677 [upload_job.py:push():89] Uploaded file /Users/f81658c/Library/Application Support/wandb/artifacts/staging/tmpckde7_sa
2024-08-25 16:30:15,470 INFO    SenderThread:41677 [sender.py:send_request_log_artifact():1431] logged artifact raw_data.parquet - {'id': 'QXJ0aWZhY3Q6MTE2NDc0Nzk4Mw==', 'state': 'PENDING', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjQxNzAzMzY2Nw==', 'latestArtifact': None}}
2024-08-25 16:30:15,471 DEBUG   HandlerThread:41677 [handler.py:handle_request():146] handle_request: status_report
2024-08-25 16:30:16,044 DEBUG   SenderThread:41677 [sender.py:send():378] send: telemetry
2024-08-25 16:30:16,044 DEBUG   SenderThread:41677 [sender.py:send():378] send: exit
2024-08-25 16:30:16,044 INFO    SenderThread:41677 [sender.py:send_exit():585] handling exit code: 0
2024-08-25 16:30:16,044 INFO    SenderThread:41677 [sender.py:send_exit():587] handling runtime: 5
2024-08-25 16:30:16,044 INFO    SenderThread:41677 [sender.py:_save_file():1365] saving file wandb-summary.json with policy end
2024-08-25 16:30:16,044 INFO    SenderThread:41677 [sender.py:send_exit():593] send defer
2024-08-25 16:30:16,044 DEBUG   HandlerThread:41677 [handler.py:handle_request():146] handle_request: defer
