2024-08-22 19:21:43,091 INFO    Thread-12 :8707 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-2-data-exploration-and-preparation/exercises/exercise_6/starter/wandb/run-20240822_192141-5iw8azuj/files/requirements.txt
2024-08-22 19:21:43,091 INFO    Thread-12 :8707 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-2-data-exploration-and-preparation/exercises/exercise_6/starter/wandb/run-20240822_192141-5iw8azuj/files/wandb-metadata.json
2024-08-22 19:21:43,091 INFO    Thread-12 :8707 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-2-data-exploration-and-preparation/exercises/exercise_6/starter/wandb/run-20240822_192141-5iw8azuj/files/conda-environment.yaml
2024-08-22 19:21:43,160 INFO    wandb-upload_0:8707 [upload_job.py:push():131] Uploaded file /var/folders/45/fj8r5p_92hq96t1_t88048jm0000gn/T/tmpwd0fmqc0wandb/36tdh2u3-wandb-metadata.json
2024-08-22 19:21:43,258 DEBUG   SenderThread:8707 [sender.py:send():378] send: use_artifact
2024-08-22 19:21:43,890 DEBUG   SenderThread:8707 [sender.py:send():378] send: exit
2024-08-22 19:21:43,890 INFO    SenderThread:8707 [sender.py:send_exit():585] handling exit code: 1
2024-08-22 19:21:43,890 INFO    SenderThread:8707 [sender.py:send_exit():587] handling runtime: 1
2024-08-22 19:21:43,890 INFO    SenderThread:8707 [sender.py:_save_file():1365] saving file wandb-summary.json with policy end
2024-08-22 19:21:43,890 INFO    SenderThread:8707 [sender.py:send_exit():593] send defer
2024-08-22 19:21:43,890 DEBUG   HandlerThread:8707 [handler.py:handle_request():146] handle_request: defer
2024-08-22 19:21:43,890 INFO    HandlerThread:8707 [handler.py:handle_request_defer():172] handle defer: 0
2024-08-22 19:21:43,890 DEBUG   SenderThread:8707 [sender.py:send_request():405] send_request: defer
2024-08-22 19:21:43,890 INFO    SenderThread:8707 [sender.py:send_request_defer():609] handle sender defer: 0
2024-08-22 19:21:43,891 INFO    SenderThread:8707 [sender.py:transition_state():613] send defer: 1
2024-08-22 19:21:43,891 DEBUG   HandlerThread:8707 [handler.py:handle_request():146] handle_request: defer
2024-08-22 19:21:43,891 INFO    HandlerThread:8707 [handler.py:handle_request_defer():172] handle defer: 1
2024-08-22 19:21:43,891 DEBUG   SenderThread:8707 [sender.py:send_request():405] send_request: defer
2024-08-22 19:21:43,891 INFO    SenderThread:8707 [sender.py:send_request_defer():609] handle sender defer: 1
2024-08-22 19:21:43,891 INFO    SenderThread:8707 [sender.py:transition_state():613] send defer: 2
2024-08-22 19:21:43,891 DEBUG   HandlerThread:8707 [handler.py:handle_request():146] handle_request: defer
2024-08-22 19:21:43,891 INFO    HandlerThread:8707 [handler.py:handle_request_defer():172] handle defer: 2
2024-08-22 19:21:43,891 INFO    HandlerThread:8707 [system_monitor.py:finish():203] Stopping system monitor
2024-08-22 19:21:43,891 INFO    HandlerThread:8707 [interfaces.py:finish():202] Joined cpu monitor
2024-08-22 19:21:43,891 DEBUG   SystemMonitor:8707 [system_monitor.py:_start():172] Starting system metrics aggregation loop
2024-08-22 19:21:43,891 DEBUG   SystemMonitor:8707 [system_monitor.py:_start():179] Finished system metrics aggregation loop
2024-08-22 19:21:43,891 DEBUG   SystemMonitor:8707 [system_monitor.py:_start():183] Publishing last batch of metrics
2024-08-22 19:21:43,891 INFO    HandlerThread:8707 [interfaces.py:finish():202] Joined disk monitor
2024-08-22 19:21:43,891 INFO    HandlerThread:8707 [interfaces.py:finish():202] Joined gpuapple monitor
2024-08-22 19:21:43,891 INFO    HandlerThread:8707 [interfaces.py:finish():202] Joined memory monitor
